FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
100019						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Carotene	211034	458684	Complete	Continuous	ug	Data	Primary	Unisex	5	1		"Carotene. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100019
100020					100010	Online follow-up > Diet by 24-hour recall > Typical diet yesterday	100097	Typical diet yesterday	211019	458617	Complete	Categorical single		Data	Primary	Unisex	5	1	100010	"Question asked: """"""""Would you say that what you ate and drank yesterday was fairly typical for you? N.B. Your questionnaire answers are just as important to us if your day was not typical."""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100020
100021						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Vitamin D	211034	458684	Complete	Continuous	ug	Data	Primary	Unisex	5	1		"Vitamin D. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100021
100022						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Alcohol	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Alcohol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100022
100023						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Starch	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Starch. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100023
100024						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Calcium	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Calcium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100024
100025						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Vitamin E	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Vitamin E. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100025
100026					7	Online follow-up > Diet by 24-hour recall	100090	Daily dietary data credible	3171	3494	Complete	Categorical single		Data	Derived	Unisex	5	1	7	"The nutritional data was analysed to generate the daily energy intake estimate in ~F100002~. Datasets are flagged here as not being credible if the daily energy intake exceeded 20MJ for Males or 18MJ for Females.   To minimise data storage, only datasets regarded as not being plausible have been flagged."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100026
10004			NO_NAN		100688	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication	100045	"Medication for pain relief, constipation, heartburn (pilot)"	3775	4465	Complete	Categorical multiple		Data	Primary	Unisex	1	5	100688	"ACE touchscreen question """"""""Do you regularly take any of the following over-the-counter medications? (You can select more than one answer)"""""""" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     Some over the counter medicines are known by other names. Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks):  Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin   Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra  Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen,    Solpaflex, Ibuleve  Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol,   Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve  Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra,   Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol,   Veganin, Feminax, Migraleve     "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10004
10005			NO_NAN		100689	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication	100045	"Medication for smoking cessation, constipation, heartburn, allergies (pilot)"	3775	3829	Complete	Categorical multiple		Data	Primary	Unisex	1	3	100689	"ACE touchscreen question """"""""Do you regularly take any of the following over-the-counter medications? (You can select more than one answer)"""""""" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.  "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10005
10006		lll	NO_NAN		100685	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Mouth	100046	Mouth/teeth dental problems (pilot)	3775	4346	Complete	Categorical multiple		Data	Primary	Unisex	1	4	100685	"ACE touchscreen question """"""""In the last year have you experienced any of the following? (You can select more than one answer)"""""""" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.  "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10006
10007			NO_NAN		100692	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication	100045	Vitamin and mineral supplements (pilot)	3775	4924	Complete	Categorical multiple		Data	Primary	Unisex	1	6	100692	"ACE touchscreen question """"""""Do you regularly take any of the following? (You can select more than one answer)"""""""" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.  "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10007
1001					100318	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of strenuous sports	52808	56647	Complete	Categorical single		Data	Primary	Unisex	3	1	100318	"ACE touchscreen question """"""""Each time you did strenuous sports, about how long did you spend doing it?"""""""" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F1001~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1001
100150					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Drinking water intake	186991	377582	Complete	Categorical single	Glass/Beaker	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/beakers of water (e.g. still, fizzy, tap) did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100150
10016					100349	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Regular use of hands-free device/speakerphone with mobile phone (pilot)	2954	2954	Complete	Categorical single		Data	Primary	Unisex	1	1	100349	"ACE touchscreen question """"""""Do you use a hands-free device/speakerphone regularly, i.e. for more than half the calls you make or receive on a mobile phone?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10016
100160					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Low calorie drink intake	43604	62229	Complete	Categorical single	Glass/Can	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cans of low calorie or diet drinks (e.g. fizzy, squash) did you drink yesterday?"""""""" If the participant activated the Help feature they were shown the message:  Low calorie flavoured water should be recorded under low calorie drinks. "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100160
100170					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Fizzy drink intake	33881	41453	Complete	Categorical single	Glass/Can	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cans of carbonated (fizzy) drinks did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100170
100180					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Squash intake	44614	57778	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of fruit drinks, J20, squash or cordial did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100180
100190					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Orange juice intake	76238	124246	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of pure orange juice did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100190
100200					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Grapefruit juice intake	9434	13387	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of pure grapefruit juice did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100200
100210					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Pure fruit/vegetable juice intake	44627	64982	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of other pure fruit / vegetable juice did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100210
100220					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Fruit smoothie intake	9732	12418	Complete	Categorical single	Glass/Bottle/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of fruit smoothie did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100220
100230					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Dairy smoothie intake	16482	19330	Complete	Categorical single	Glass/Bottle/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/cartons/250ml of dairy/yogurt based smoothie did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100230
100240					100010	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Coffee consumed	211019	458617	Complete	Categorical single		Data	Primary	Unisex	5	1	100010	"Question asked: """"""""Did you drink any coffee yesterday?"""""""" If the participant activated the Help feature they were shown the message:  Include all coffee drinks whether hot, cold/iced, instant, shop bought (including Starbucks), machine made or made by hand. Coffee substitutes such as Barley Cup and Dandelion Coffee should not be recorded here. Instead, record this under other non-alcoholic drinks (further down the page). If some of your coffees were decaffeinated and some were not, please choose Varied for the decaf question. Likewise, if you added sugar/sweetener to some of your coffees but not all, or if the amount of sugar/sweetener you added varied from one coffee drink to another, please choose Varied. The questions on milk, decaffeinated coffee and sugar/sweetener need to be answered here. "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100240
100250					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Instant coffee intake	117072	217412	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of instant coffee did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100250
100260					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to instant coffee	98408	179620	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk, cream or whitener (e.g. Coffee-mate) to your instant coffee?"""""""" This question was only asked to participants who reported drinking instant coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100260
100270					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Filtered coffee intake	61853	107800	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of filter/americano/cafetiere coffee did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100270
100280					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to filtered coffee	43451	72425	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk, cream or whitener (e.g. Coffee-mate) to your filter/americano/cafetiere coffee?"""""""" This question was only asked to participants who reported drinking filter/americano/cafetiere coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100280
100290					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Cappuccino intake	19234	26166	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of cappuccino did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100290
100300					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Latte intake	18283	24691	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of latte did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100300
100310					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Espresso intake	8114	11897	Complete	Categorical single	Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of espresso did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100310
100320					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to espresso	2434	3108	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk, cream or whitener (e.g. Coffee-mate) to your espresso?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100320
100330					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Other coffee type	3919	4366	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many cups/mugs of other coffee drinks did you drink yesterday?"""""""" This question was only asked to participants who reported drinking coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100330
100350					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to other coffee type	2336	2541	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk, cream or whitener (e.g. Coffee-mate) to your other type of coffee?"""""""" This question was only asked to participants who reported drinking other coffee yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100350
100360					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Decaffeinated coffee	39190	67070	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Was it decaffeinated coffee?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100360
100370					100002	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Intake of sugar added to coffee	36336	62906	Complete	Categorical single	Teaspoon	Data	Primary	Unisex	5	1	100002	"Question asked: """"""""How many teaspoons of sugar did you add to your coffee (per drink)?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100370
100380					100002	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Intake of artificial sweetener added to coffee	17416	31262	Complete	Categorical single	Teaspoon / tablet	Data	Primary	Unisex	5	1	100002	"Question asked: """"""""How many teaspoons/tablets of sweetener (e.g. Canderel) did you add to your coffee (per drink)?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100380
100390					100010	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Tea consumed	211019	458617	Complete	Categorical single		Data	Primary	Unisex	5	1	100010	"Question asked: """"""""Did you drink any tea/infusion yesterday?"""""""" If the participant activated the Help feature they were shown the message:  Standard tea covers all the different types of tea made with black tea leaves (this is the most common type of tea). This includes teabags and loose leaf tea as well as decaffeinated types. Peppermint tea belongs in the herbal or fruit infusion section. If you added honey to your tea/infusion, please treat this as sugar. Do not treat artificial sweetener as sugar. If your tea or infusion is not on the list, please record it under Other located at the bottom of the list. "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100390
100400					100007	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Standard tea intake	157838	320175	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100007	"Question asked: """"""""How many cups/mugs of standard tea (e.g. Tetley, PG Tips, Assam, Darjeeling) did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100400
100410					100007	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Rooibos tea intake	11460	19442	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100007	"Question asked: """"""""How many cups/mugs of rooibos/redbush tea (e.g. Tick Tock) did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100410
100420					100007	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Green tea intake	19129	30634	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100007	"Question asked: """"""""How many cups/mugs of green tea did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100420
100430					100007	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Herbal tea intake	30032	47787	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100007	"Question asked: """"""""How many cups/mugs of herbal or fruit tea (infusion) did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100430
100440					100007	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Other tea intake	12268	15891	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100007	"Question asked: """"""""How many cups/mugs of other tea or infusion did you drink yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100440
100460					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to standard tea	142921	288106	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk to your standard tea?"""""""" This question was only asked to participants who reported drinking standard tea yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100460
100470					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Decaffeinated tea	16741	26106	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Was your standard tea decaffeinated?"""""""" This question was only asked to participants who reported drinking standard tea yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100470
100480					100009	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Added milk to rooibos tea	5656	9683	Complete	Categorical single		Data	Primary	Unisex	5	1	100009	"Question asked: """"""""Did you add milk to your rooibos/redbush tea?"""""""" This question was only asked to participants who reported drinking rooibos/redbush tea yesterday."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100480
100490					100002	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Intake of sugar added to tea	25900	45917	Complete	Categorical single	Teaspoon	Data	Primary	Unisex	5	1	100002	"Question asked: """"""""How many teaspoons of sugar did you add to your tea/infusion (per drink)?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100490
100500					100002	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Intake of artificial sweetener added to tea	14075	25466	Complete	Categorical single	Teaspoon / tablet	Data	Primary	Unisex	5	1	100002	"Question asked: """"""""How many teaspoons/tablets of sweetener (e.g. Canderel) did you add to your tea/infusion (per drink)?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100500
100510					100010	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Other non-alcoholic drinks	211019	458617	Complete	Categorical single		Data	Primary	Unisex	5	1	100010	"Question asked: """"""""Did you have any other (non-alcoholic) drinks yesterday? e.g. milk, yogurt drinks or hot chocolate."""""""" If the participant activated the Help feature they were shown the message:  You will be asked about alcoholic drinks next. Actimel and yakult should be recorded under yogurt based drinks. "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100510
100520					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Milk intake	15165	19866	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/carton/ 250ml of milk (excluding milkshakes) did you consume yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100520
100530					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Flavoured milk intake	7908	9393	Complete	Categorical single	Glass/Carton/250ml	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many glasses/carton/ 250ml of yogurt drinks, flavoured milk or milkshakes did you consume yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100530
100540					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Low calorie hot chocolate intake	5149	6349	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many mugs/cups of low calorie hot chocolate drinks did you consume yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100540
100550					100006	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday	100104	Hot chocolate intake	16116	20980	Complete	Categorical single	Mug/Cup	Data	Primary	Unisex	5	1	100006	"Question asked: """"""""How many mugs/cups of hot chocolate or other milk-based drinks (including Horlicks) did you consume yesterday?"""""""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100550
